url,title
https://www.youtube.com/watch?v=2lRj2ruSr74,Lhadma's Law - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=B9C3KCliC9k,Diminishing Returns - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=vCWpKubBbcw,Measurement Evaluation Outro - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=hBBVgqE6KXU,Pipelining Intro - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=otSXgSp-8EY,Pipelining - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=eVRdfl4zxfI,Pipelining in a Processor - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=QiJKYkCSesM,Laundry Pipelining Quiz - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=BclKss54doo,Laundry Pipelining Quiz Solution - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=DXmGulfwui0,Instruction Pipelining Quiz - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=qWQbgQmr_Ns,Instruction Pipelining Quiz Solution - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=GAUppsLpjvg,Pipeline CPI - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=ltRlHzOSOzY,Processor Pipeline Stalls - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=mGlwrbEtMOs,Processor Pipeline Stalls and Flushes - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=Ma08iHI3e2c,Control Dependencies - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=y7_lYD22Ue4,Control Dependence Quiz - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=oINmTFw1zOE,Control Dependence Quiz Solution - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=S4faoqIff7I,Data Dependencies - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=v2xMnHTmMS0,Data Dependencies Quiz - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=PtUW3D0oNIE,Data Dependencies Quiz Solution - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=F0-hW8nc6es,Dependencies and Hazards - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=H68Md6aINuM,Dependencies and Hazards Quiz - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=lqIhFybwLRg,Dependencies and Hazards Quiz Solution - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=x6vuFvSg2Uo,Handling of Hazards - Georgia Tech - HPCA: Part 1
https://www.youtube.com/watch?v=Db9PDFeG6PQ,"Flushes, Stalls, and Forwarding Quiz - Georgia Tech - HPCA: Part 1"
